method,metric,mean,std,n_seeds
ivon_mean,accuracy,-0.010416666666666666,0.019661027175184243,3
ivon_mean,ece,0.0010516024194657803,0.023936068708616868,3
ivon_mean,nll,-0.00016522010070555795,0.0024481922600696725,3
ivon_mean,brier,0.008852732404797817,0.003388155636339366,3
ivon_mc,accuracy,-0.037760416666666664,0.03133127451957283,3
ivon_mc,ece,0.11066362289408667,0.021548370036381933,3
ivon_mc,nll,0.20327806278508906,0.0443484944758447,3
ivon_mc,brier,0.11340840026474495,0.025162648670105498,3
