method,n_seeds,accuracy_mean,accuracy_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,train_seconds_mean,train_seconds_std,prediction_seconds_mean,prediction_seconds_std
adamw,3,0.7317708333333334,0.01761425684696443,0.06886257083776097,0.02295398520052748,0.6802947669246656,0.005349895135171415,0.3560200665358426,0.003212693444887672,49.33212600866659,4.339639723898434,6.798071259999991,0.7192566710623854
ivon_mean,3,0.7213541666666666,0.002255274489021976,0.06991417325722675,0.0028511015768071303,0.68012954682396,0.0033377001525131027,0.36487279894064045,0.0015826808360049217,51.702394855666626,1.1124965715634987,7.20507718866664,0.09370358447412842
ivon_mc,3,0.6940104166666666,0.013718299157360338,0.17952619373184764,0.01486604520289987,0.8835728297097547,0.04012369419747314,0.46942846680058753,0.022438778059126578,51.702394855666626,1.1124965715634987,71.58822776766662,0.38599863150451735
