seed,method,accuracy,ece,nll,brier,n,ece_bins,train_seconds,prediction_seconds
21,adamw,0.71484375,0.0798586531309411,0.6756634080355051,0.3578818455215429,256,15,44.32269438100002,5.967887996999934
21,ivon_mean,0.72265625,0.06665145710576324,0.6765673164097117,0.3634274725853417,256,15,50.44954929400001,7.270918343999938
21,ivon_mc,0.70703125,0.1966920202565234,0.8903707826810989,0.4712409181777959,256,15,50.44954929400001,71.14270323000005
42,adamw,0.75,0.042479126481339335,0.6790700701057428,0.3523103763255736,256,15,51.728818634999925,7.233826174000114
42,ivon_mean,0.71875,0.0711650149896741,0.6806366415583528,0.36462687943020056,256,15,52.57464709099986,7.0977989049999906
42,ivon_mc,0.6796875,0.17093329206545602,0.9198632940440523,0.49090605280236993,256,15,52.57464709099986,71.82220869399998
87,adamw,0.73046875,0.08424993290100244,0.686150822632749,0.35786797776041146,256,15,51.94486500999983,7.192499608999924
87,ivon_mean,0.72265625,0.07192604767624287,0.6831846825038157,0.36656404480637916,256,15,52.08298818200001,7.246514316999992
87,ivon_mc,0.6953125,0.1709532688735635,0.8404844124041128,0.446138429421597,256,15,52.08298818200001,71.79977137899982
